planner_backbone,run,plan,n_steps,tissue_segmentation_and_classification,cell_segmentation_and_classification,invokes_model_to_classify_tumour,invokes_model_to_classify_lymph_node,classification_classes,error
GPT-5.4,1,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,2,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5.4,3,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5.4,4,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,5,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node metastasis, Negative control",
GPT-5.4,6,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Metastatic tumor deposit, Negative control",
GPT-5.4,7,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5.4,8,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,9,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node metastasis, Lymph node, Negative control",
GPT-5.4,10,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,11,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,12,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,13,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5.4,14,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,15,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node metastasis, Negative control",
GPT-5.4,16,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,17,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,18,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,19,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5.4,20,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node metastasis, Negative control",
GPT-5.4,21,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node metastasis, Negative control",
GPT-5.4,22,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5.4,23,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,24,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node metastasis, Lymph node, Negative control",
GPT-5.4,25,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node metastasis, Lymph node, Negative control",
GPT-5.4,26,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,27,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=""Lymph node, Tumor deposit, Negative control""",
GPT-5.4,28,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5.4,29,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
GPT-5.4,30,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-5.4,31,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor deposit, Negative control",
