slide_name,ground_truth,TLAgent,Quilt-LLaVA,LLaVA-Med,MedGemma,GPT-4o-agent,GPT-4o-vision,GPT-5-vision
AI-LNCO2-0004_G_HE,0,0,2,N/A,5,0,4,0
AI-LNCO2-0004_H_HE,0,0,6,N/A,5,2,2,2
AI-LNCO2-0004_J_HE,1,1,6,N/A,5,N/A,2,0
AI-LNCO2-0004_K_HE,0,0,6,N/A,7,1,2,2
AI-LNCO2-0004_L_HE,0,0,2,N/A,5,0,4,2
AI-LNCO2-0004_M_HE,0,0,6,N/A,5,0,3,2
AI-LNCO2-0004_N_HE,0,0,6,N/A,5,1,3,5
AI-LNCO2-0004_O_HE,0,0,6,N/A,5,N/A,3,0
AI-LNCO2-0004_P_HE,0,0,2,N/A,5,0,3,0
AI-LNCO2-0004_R_HE,0,0,6,N/A,10,2,0,0
AI-LNCO2-0004_S_HE,0,0,6,N/A,5,0,1,2
AI-LNCO2-0004_T_HE,0,0,4,N/A,5,4,3,0
AI-LNCO2-0004_U_HE,0,0,6,N/A,5,0,3,0
AI-LNCO2-0004_V_HE,0,0,6,N/A,5,3,3,3
AI-LNCO2-0004_W_HE,0,0,2,N/A,5,4,4,3
AI-LNCO2-0004_X_HE,0,0,11,N/A,6,28,2,2
AI-LNCO2-0004_Y_HE,0,0,6,N/A,7,2,3,3
AI-LNCO2-0004_ZA_HE,0,0,N/A,N/A,N/A,1,4,0
AI-LNCO2-0004_ZB_HE,0,0,6,N/A,5,0,1,0
AI-LNCO2-0004_ZC_HE,0,0,6,N/A,5,0,6,0
AI-LNCO2-0004_ZD_HE,0,0,2,N/A,7,3,4,1
AI-LNCO2-0004_ZE_HE,0,0,2,N/A,5,4,4,6
AI-LNCO2-0004_ZF_HE,0,0,1,N/A,6,4,4,2
AI-LNCO2-0004_Z_HE,0,0,10,N/A,3,2,2,0
AI-LNCO2-0005_J_HE,0,0,6,N/A,N/A,3,1,2
AI-LNCO2-0005_K_HE,0,0,1,N/A,2,N/A,0,0
AI-LNCO2-0005_L_HE,2,2,2,N/A,3,0,3,3
AI-LNCO2-0005_M_HE,0,0,2,N/A,3,2,1,0
AI-LNCO2-0005_N_HE,0,0,2,N/A,3,N/A,4,1
AI-LNCO2-0005_O_HE,0,0,1,N/A,1,N/A,0,0
AI-LNCO2-0005_P_HE,0,0,8,N/A,3,0,0,0
AI-LNCO2-0005_Q_HE,0,0,6,N/A,3,2,2,0
AI-LNCO2-0005_R_HE,0,0,6,N/A,2,2,1,0
AI-LNCO2-0005_S_HE,0,0,2,N/A,3,0,3,0
AI-LNCO2-0005_T_HE,0,0,2,N/A,5,0,4,4
AI-LNCO2-0005_U_HE,0,0,2,N/A,2,0,2,0
AI-LNCO2-0005_V_HE,0,0,2,N/A,3,0,1,0
AI-LNCO2-0005_W_HE,0,0,1,N/A,3,0,2,1
AI-LNCO2-0009_K_HE,0,0,6,N/A,5,0,2,2
AI-LNCO2-0009_L_HE,0,0,15,N/A,2,3,2,2
AI-LNCO2-0009_M_HE,0,0,6,N/A,5,0,3,0
AI-LNCO2-0009_N_HE,0,0,6,N/A,5,0,3,0
AI-LNCO2-0009_O_HE,0,0,1,N/A,6,10,3,2
AI-LNCO2-0009_P_HE,0,0,2,N/A,N/A,0,2,3
AI-LNCO2-0009_Q_HE,0,0,2,N/A,6,1,4,4
AI-LNCO2-0009_R_HE,0,0,6,N/A,3,0,2,0
AI-LNCO2-0012_G_HE,0,0,10,N/A,N/A,0,1,0
AI-LNCO2-0012_H_HE,0,0,2,N/A,5,6,2,0
AI-LNCO2-0012_J_HE,0,0,2,N/A,5,N/A,1,0
AI-LNCO2-0012_K_HE,0,0,2,N/A,12,2,0,0
AI-LNCO2-0012_L_HE,0,0,6,N/A,5,2,2,0
AI-LNCO2-0012_M_HE,0,0,6,N/A,10,0,2,0
AI-LNCO2-0012_N_HE,0,0,10,N/A,2,N/A,1,0
AI-LNCO2-0012_O_HE,0,0,6,N/A,2,0,1,2
AI-LNCO2-0012_P_HE,0,0,10,N/A,3,0,4,1
AI-LNCO2-0012_Q_HE,0,0,3,N/A,5,0,3,0
AI-LNCO2-0012_R_HE,0,0,6,N/A,5,N/A,3,0
AI-LNCO2-0012_S_HE,0,0,2,N/A,3,2,2,2
AI-LNCO2-0013_H_HE,0,0,2,N/A,2,N/A,0,0
AI-LNCO2-0013_J_HE,0,0,2,N/A,3,2,1,2
AI-LNCO2-0013_K_HE,0,0,6,N/A,2,0,1,0
AI-LNCO2-0013_L_HE,0,0,6,N/A,3,N/A,1,0
AI-LNCO2-0013_M_HE,0,0,6,N/A,5,0,1,0
AI-LNCO2-0013_N_HE,0,0,10,N/A,3,0,1,0
AI-LNCO2-0013_O_HE,0,0,6,N/A,5,2,1,1
AI-LNCO2-0013_P_HE,0,0,2,N/A,2,3,2,2
AI-LNCO2-0013_Q_HE,0,0,2,N/A,3,2,2,0
AI-LNCO2-0013_R_HE,0,0,6,N/A,3,N/A,1,0
AI-LNCO2-0013_S_HE,0,0,N/A,N/A,N/A,N/A,1,1
AI-LNCO2-0013_T_HE,0,0,2,N/A,5,N/A,2,0
AI-LNCO2-0013_U_HE,0,0,2,N/A,N/A,2,2,0
AI-LNCO2-0013_V_HE,0,0,6,N/A,N/A,6,0,0
AI-LNCO2-0013_W_HE,0,0,2,N/A,N/A,0,1,0
AI-LNCO2-0013_X_HE,0,0,10,N/A,5,0,4,4
AI-LNCO2-0017_2K_HE,0,0,6,N/A,5,6,5,1
AI-LNCO2-0017_2L_HE,0,0,10,N/A,3,0,4,3
AI-LNCO2-0017_2M_HE,0,0,11,N/A,5,N/A,0,0
AI-LNCO2-0017_2N_HE,0,0,6,N/A,5,0,2,0
AI-LNCO2-0017_2O_HE,0,0,11,N/A,5,5,2,2
AI-LNCO2-0017_2P_HE,0,0,6,N/A,6,0,3,0
AI-LNCO2-0017_2Q_HE,0,0,2,N/A,12,7,2,0
AI-LNCO2-0017_2R_HE,0,0,15,N/A,5,0,1,1
AI-LNCO2-0017_2S_HE,0,0,6,N/A,5,4,4,4
AI-LNCO2-0017_2T_HE,0,0,2,N/A,5,7,3,5
AI-LNCO2-0017_2U_HE,0,0,2,N/A,5,10,5,0
AI-LNCO2-0017_2V_HE,0,0,6,N/A,7,0,4,0
AI-LNCO2-0017_2W_HE,0,0,10,N/A,10,6,6,0
AI-LNCO2-0017_2X_HE,0,0,6,N/A,5,5,4,2
AI-LNCO2-0017_2Y_HE,0,0,6,N/A,6,N/A,6,2
AI-LNCO2-0017_2ZA_HE,0,0,6,N/A,5,5,3,3
AI-LNCO2-0017_2ZB_HE,0,0,6,N/A,5,9,6,4
AI-LNCO2-0017_2ZC_HE,0,0,6,N/A,3,4,3,4
AI-LNCO2-0017_2ZD_HE,0,0,2,N/A,2,N/A,1,2
AI-LNCO2-0017_2Z_HE,0,0,6,N/A,10,5,4,0
AI-LNCO2-0023_L_HE,0,0,6,N/A,3,N/A,1,1
AI-LNCO2-0023_M_HE,0,0,2,N/A,3,0,1,1
AI-LNCO2-0023_N_HE,0,0,14,N/A,5,N/A,0,0
AI-LNCO2-0023_O_HE,0,0,6,N/A,3,N/A,3,0
AI-LNCO2-0023_P_HE,0,0,2,N/A,5,1,2,0
AI-LNCO2-0023_Q_HE,0,0,2,N/A,5,0,3,4
AI-LNCO2-0023_R_HE,0,0,2,N/A,3,0,1,1
AI-LNCO2-0023_S_HE,0,0,6,N/A,5,0,1,0
AI-LNCO2-0023_T_HE,0,0,14,N/A,5,N/A,2,0
AI-LNCO2-0023_U_HE,0,0,6,N/A,3,N/A,1,0
AI-LNCO2-0023_V_HE,0,0,6,N/A,5,0,3,5
AI-LNCO2-0023_W_HE,0,0,2,N/A,3,0,3,0
AI-LNCO2-0023_X_HE,0,0,6,N/A,5,0,4,1
AI-LNCO2-0023_Y_HE,0,0,14,N/A,5,N/A,2,1
AI-LNCO2-0023_ZA_HE,0,0,2,N/A,4,N/A,3,0
AI-LNCO2-0023_ZB_HE,0,0,6,N/A,5,1,1,1
AI-LNCO2-0023_ZC_HE,0,0,6,N/A,5,0,4,3
AI-LNCO2-0023_ZD_HE,0,0,6,N/A,5,10,2,0
AI-LNCO2-0023_ZE_HE,0,0,10,N/A,5,2,1,1
AI-LNCO2-0023_ZF_HE,0,0,15,N/A,5,13,2,0
AI-LNCO2-0023_ZG_HE,0,0,2,N/A,5,0,4,4
AI-LNCO2-0023_ZH_HE,0,0,6,N/A,5,0,2,2
AI-LNCO2-0023_ZJ_HE,0,0,2,N/A,5,0,2,1
AI-LNCO2-0023_ZK_HE,0,0,2,N/A,5,2,3,0
AI-LNCO2-0023_ZL_HE,0,0,2,N/A,3,0,0,0
AI-LNCO2-0023_ZM_HE,0,0,6,N/A,3,N/A,1,0
AI-LNCO2-0023_ZN_HE,0,0,N/A,N/A,N/A,1,1,0
AI-LNCO2-0023_Z_HE,0,0,14,N/A,4,0,3,0
AI-LNCO2-0026_C_HE,0,0,2,N/A,5,2,1,1
